County-State,Median-Household-Income
AUTAUGA-AL,57982
BALDWIN-AL,61756
BARBOUR-AL,34990
BIBB-AL,51721
BLOUNT-AL,48922
BULLOCK-AL,33866
BUTLER-AL,44850
CALHOUN-AL,50128
CHAMBERS-AL,43875
CHEROKEE-AL,42509
CHILTON-AL,52141
CHOCTAW-AL,36634
CLARKE-AL,37345
CLAY-AL,42678
CLEBURNE-AL,46320
COFFEE-AL,56799
COLBERT-AL,47962
CONECUH-AL,35444
COOSA-AL,43571
COVINGTON-AL,42566
CRENSHAW-AL,42611
CULLMAN-AL,48388
DALE-AL,45644
DALLAS-AL,33317
DEKALB-AL,42267
ELMORE-AL,62324
ESCAMBIA-AL,35558
ETOWAH-AL,44934
FAYETTE-AL,41469
FRANKLIN-AL,41174
GENEVA-AL,41569
GREENE-AL,26688
HALE-AL,30793
HENRY-AL,51715
HOUSTON-AL,49069
JACKSON-AL,42578
JEFFERSON-AL,55088
LAMAR-AL,42688
LAUDERDALE-AL,48428
LAWRENCE-AL,47125
LEE-AL,52930
LIMESTONE-AL,64270
LOWNDES-AL,33634
MACON-AL,35450
MADISON-AL,66887
MARENGO-AL,33029
MARION-AL,40978
MARSHALL-AL,50216
MOBILE-AL,49625
MONROE-AL,31969
MONTGOMERY-AL,51963
MORGAN-AL,52923
PERRY-AL,23875
PICKENS-AL,40362
PIKE-AL,39218
RANDOLPH-AL,45141
RUSSELL-AL,42208
ST. CLAIR-AL,62531
SHELBY-AL,78889
SUMTER-AL,26150
TALLADEGA-AL,43969
TALLAPOOSA-AL,48160
TUSCALOOSA-AL,54283
WALKER-AL,45833
WASHINGTON-AL,42331
WILCOX-AL,35063
WINSTON-AL,40991
ALEUTIANS EAST BOROUGH-AK,75833
ALEUTIANS WEST CENSUS AREA-AK,87443
ANCHORAGE MUNICIPALITY-AK,84813
BETHEL CENSUS AREA-AK,54400
BRISTOL BAY BOROUGH-AK,79808
DENALI BOROUGH-AK,76364
DILLINGHAM CENSUS AREA-AK,57436
FAIRBANKS NORTH STAR BOROUGH-AK,76464
HAINES BOROUGH-AK,65014
HOONAH-ANGOON CENSUS AREA-AK,59926
JUNEAU CITY AND BOROUGH-AK,88077
KENAI PENINSULA BOROUGH-AK,69245
KETCHIKAN GATEWAY BOROUGH-AK,74678
KODIAK ISLAND BOROUGH-AK,79173
KUSILVAK CENSUS AREA-AK,37358
LAKE AND PENINSULA BOROUGH-AK,48750
MATANUSKA-SUSITNA BOROUGH-AK,76118
NOME CENSUS AREA-AK,62843
NORTH SLOPE BOROUGH-AK,79083
NORTHWEST ARCTIC BOROUGH-AK,63750
PETERSBURG BOROUGH-AK,68667
PRINCE OF WALES-HYDER CENSUS AREA-AK,54018
SITKA CITY AND BOROUGH-AK,81708
SKAGWAY MUNICIPALITY-AK,71875
SOUTHEAST FAIRBANKS CENSUS AREA-AK,66941
WRANGELL CITY AND BOROUGH-AK,58438
YAKUTAT CITY AND BOROUGH-AK,59517
YUKON-KOYUKUK CENSUS AREA-AK,41728
CHUGACH CENSUS AREA-AK,90776
COPPER RIVER CENSUS AREA-AK,64745
APACHE-AZ,33967
COCHISE-AZ,51505
COCONINO-AZ,59000
GILA-AZ,46907
GRAHAM-AZ,55693
GREENLEE-AZ,66368
LA PAZ-AZ,34956
MARICOPA-AZ,67799
MOHAVE-AZ,47686
NAVAJO-AZ,43140
PIMA-AZ,55023
PINAL-AZ,60968
SANTA CRUZ-AZ,41424
YAVAPAI-AZ,53329
YUMA-AZ,48790
ARKANSAS-AR,51000
ASHLEY-AR,43601
BAXTER-AR,43504
BENTON-AR,71556
BOONE-AR,46392
BRADLEY-AR,41808
CALHOUN-AR,50441
CARROLL-AR,48249
CHICOT-AR,33523
CLARK-AR,39500
CLAY-AR,37933
CLEBURNE-AR,45563
CLEVELAND-AR,46349
COLUMBIA-AR,37609
CONWAY-AR,44456
CRAIGHEAD-AR,49730
CRAWFORD-AR,48980
CRITTENDEN-AR,42384
CROSS-AR,44379
DALLAS-AR,35134
DESHA-AR,31855
DREW-AR,42924
FAULKNER-AR,54191
FRANKLIN-AR,37561
FULTON-AR,35274
GARLAND-AR,48150
GRANT-AR,59051
GREENE-AR,50083
HEMPSTEAD-AR,45484
HOT SPRING-AR,46390
HOWARD-AR,38038
INDEPENDENCE-AR,48972
IZARD-AR,42818
JACKSON-AR,37885
JEFFERSON-AR,40402
JOHNSON-AR,39346
LAFAYETTE-AR,33763
LAWRENCE-AR,40587
LEE-AR,27902
LINCOLN-AR,46554
LITTLE RIVER-AR,48966
LOGAN-AR,44232
LONOKE-AR,59278
MADISON-AR,41446
MARION-AR,38426
MILLER-AR,45391
MISSISSIPPI-AR,42986
MONROE-AR,38438
MONTGOMERY-AR,41165
NEVADA-AR,39946
NEWTON-AR,39542
OUACHITA-AR,38279
PERRY-AR,44926
PHILLIPS-AR,33724
PIKE-AR,42983
POINSETT-AR,40700
POLK-AR,39084
POPE-AR,46004
PRAIRIE-AR,42754
PULASKI-AR,52930
RANDOLPH-AR,42844
ST. FRANCIS-AR,36053
SALINE-AR,66876
SCOTT-AR,42635
SEARCY-AR,35077
SEBASTIAN-AR,47878
SEVIER-AR,47872
SHARP-AR,35573
STONE-AR,36067
UNION-AR,45293
VAN BUREN-AR,40442
WASHINGTON-AR,52380
WHITE-AR,44000
WOODRUFF-AR,40331
YELL-AR,47981
ALAMEDA-CA,104888
ALPINE-CA,85750
AMADOR-CA,65187
BUTTE-CA,54972
CALAVERAS-CA,67054
COLUSA-CA,59427
CONTRA COSTA-CA,103997
DEL NORTE-CA,49981
