County-State,Drop_Out_Rate_By_County,Graduation-Rate,Percentage of Teens Who Work Part or Full time,SVI,Percentage-Private-School,Percentage-Public-School
ADAMS-IL,0.034312210200927354,87.47,0.5842349304482226,0.249,0.24242424242424243,0.7575757575757576
BOONE-IL,0.026591230551626592,83.64,0.5188118811881188,0.4697,0.09523809523809523,0.9047619047619048
BROWN-IL,0.0,87.5,0.39344262295081966,0.4745,0.25,0.75
BUREAU-IL,0.13626834381551362,83.96,0.6002795248078266,0.2863,0.07692307692307693,0.9230769230769231
CASS-IL,0.14308426073131955,81.92,0.5675675675675675,0.6971,0.2,0.8
CHAMPAIGN-IL,0.023646513587528964,86.84,0.5428165156941226,0.499,0.21794871794871795,0.782051282051282
CHRISTIAN-IL,0.06702208682406702,90.0,0.5072353389185073,0.2408,0.2,0.8
CLINTON-IL,0.03469501958589815,91.29,0.5551203133743704,0.1787,0.17391304347826086,0.8260869565217391
COLES-IL,0.028291316526610644,91.14,0.6599439775910364,0.4978,0.19047619047619047,0.8095238095238095
COOK-IL,0.04581923205692411,82.56,0.3684658483556466,0.6755,0.24203133441383037,0.7579686655861696
CRAWFORD-IL,0.20606826801517067,85.09,0.5891276864728192,0.3838,0.09090909090909091,0.9090909090909091
DEKALB-IL,0.02639487782568927,86.76,0.6611786227623154,0.4866,0.10869565217391304,0.8913043478260869
DOUGLAS-IL,0.37291280148423006,93.87,0.7003710575139147,0.4439,0.35294117647058826,0.6470588235294118
DUPAGE-IL,0.03173844363152644,93.58,0.5310109743930828,0.1611,0.25287356321839083,0.7471264367816092
EDGAR-IL,0.033642691415313224,83.7,0.5232018561484919,0.3433,0.05263157894736842,0.9473684210526315
EFFINGHAM-IL,0.11605415860735009,89.51,0.7324306898774984,0.199,0.19047619047619047,0.8095238095238095
FAYETTE-IL,0.16371220020855057,79.93,0.45359749739311783,0.5949,0.125,0.875
FORD-IL,0.0991869918699187,83.4,0.5560975609756098,0.3051,0.1,0.9
FRANKLIN-IL,0.12846199175014733,79.95,0.5226870948733058,0.6092,0.13043478260869565,0.8695652173913043
