County-State,Private
PITTSYLVANIA-VA,5
PIKE-AR,1
NEW HAVEN-CT,65
BREATHITT-KY,3
ADAMS-NE,4
YAVAPAI-AZ,12
BRADLEY-AR,1
HEMPSTEAD-AR,2
CRAWFORD-IL,1
CAPE MAY-NJ,7
YORK-PA,34
BOONE-WV,2
LARAMIE-WY,5
SUFFOLK-VA,3
DUPLIN-NC,4
GRAND-CO,2
ALEXANDER-IL,1
ST. CLAIR-MI,9
CEDAR-NE,2
CARSON CITY-NV,2
JEFFERSON-OH,2
ERIE-OH,3
TIOGA-PA,5
ETOWAH-AL,5
CHILTON-AL,1
FRESNO-CA,23
DOUGLAS-CO,19
CALHOUN-MI,5
SCHUYLER-NY,1
JEFFERSON-TN,1
GREGG-TX,8
PRINCE GEORGE'S-MD,71
CULLMAN-AL,5
PINAL-AZ,3
LEE-AR,2
MONTEREY-CA,19
WALTON-FL,6
ELKHART-IN,43
SCOTT-IA,8
COWLEY-KS,3
BOONE-MO,17
PUTNAM-OH,3
BERKS-PA,47
AIKEN-SC,12
COMAL-TX,9
EAST CARROLL-LA,1
BURKE-NC,4
SCOTLAND-NC,3
CHESAPEAKE-VA,26
GOOCHLAND-VA,7
NEWPORT NEWS-VA,14
YANCEY-NC,3
HYDE-NC,1
LEE-NC,3
NORTHAMPTON-NC,1
GILA-AZ,3
CHARLOTTE-FL,8
ORANGE-FL,148
MONTGOMERY-GA,1
CLINTON-IA,2
MITCHELL-KS,3
MARION-KY,1
CHISAGO-MN,2
YAZOO-MS,2
MORTON-ND,1
LUZERNE-PA,26
LA PLATA-CO,7
POSEY-IN,3
CRAWFORD-IA,1
ALLAMAKEE-IA,1
LAWRENCE-KY,1
CROW WING-MN,4
POLK-MN,5
RAVALLI-MT,3
LAKE-OH,12
MEIGS-OH,1
CLARK-WA,21
CODINGTON-SD,4
MAURY-TN,6
UINTAH-UT,1
OUTAGAMIE-WI,18
BUCKINGHAM-VA,3
YORK-ME,16
DURHAM-NC,25
PASQUOTANK-NC,3
PENDER-NC,1
TOWNS-GA,1
SANGAMON-IL,17
ANDERSON-KS,1
WAYNE-MI,77
ISANTI-MN,3
PHILADELPHIA-NM,1
MONROE-WV,1
LUBBOCK-TX,11
RANDALL-TX,4
SMITH-TX,9
WINCHESTER-VA,2
PICKENS-GA,1
MCLEOD-MN,6
MILLE LACS-MN,3
LAFAYETTE-MO,5
CORTLAND-NY,4
CASS-ND,5
HENRY-OH,3
DAVIDSON-NC,7
CLAY-AL,2
MERCED-CA,12
JACKSON-MO,42
POLK-GA,1
HOUSTON-GA,7
LAMAR-GA,3
TIPPECANOE-IN,9
WHITLEY-IN,4
HENRY-IN,3
HANCOCK-IN,3
KNOTT-KY,1
BAY-MI,10
ISABELLA-MI,5
JACKSON-MI,7
SANTA FE-NM,16
DOUGLAS-OR,7
DEWEY-SD,1
SUMMIT-UT,3
BELL-TX,10
WEBB-TX,7
SANTA ROSA-FL,5
GADSDEN-FL,3
ROCK ISLAND-IL,9
HARLAN-KY,1
MORRISON-MN,2
MONROE-MO,2
KENT-RI,12
SHAWANO-WI,7
VERMILION-LA,2
WALKER-TX,4
LLANO-TX,1
CRAIGHEAD-AR,4
WINDHAM-CT,10
WASHINGTON-FL,3
MANATEE-FL,24
FANNIN-GA,1
WARE-GA,1
FRANKLIN-IL,3
JEFFERSON-IN,5
POTTER-PA,4
MARION-SC,2
JEFFERSON-WA,4
WILBARGER-TX,1
OXFORD-ME,10
MARICOPA-AZ,151
WAYNE-IN,16
MORGAN-IN,2
HORRY-SC,11
SHELBY-TN,65
SPOKANE-WA,39
POLK-TX,2
HAWAII-HI,11
LOGAN-IL,1
WILLIAMSON-IL,4
TRIGG-KY,2
OTTAWA-MI,21
GRENADA-MS,1
CUSTER-MT,2
HUNTERDON-NJ,6
ORANGE-NY,22
ONTARIO-NY,5
PAULDING-OH,1
LAFAYETTE-WI,1
OUACHITA-AR,1
MUSCATINE-IA,1
WILLIAMSON-TN,13
WHARTON-TX,2
LEXINGTON-VA,1
DE SOTO-LA,1
PISCATAQUIS-ME,1
SHELBY-IN,2
BULLITT-KY,3
POPE-MN,1
FRANKLIN-NY,4
WILLIAMS-OH,2
PITTSBURG-OK,2
KNOX-TN,38
PUTNAM-WV,2
GRANT-WI,9
BERTIE-NC,2
BRUNSWICK-NC,7
POWHATAN-VA,1
FAULKNER-AR,2
MIDDLESEX-CT,9
WATONWAN-MN,2
CALLAWAY-MO,2
LEWIS-NY,4
WARREN-NY,1
CROOK-OR,1
RITCHIE-WV,1
HARRISON-WV,7
HIDALGO-TX,22
CECIL-MD,9
CRAVEN-NC,6
JACKSON-GA,2
OWYHEE-ID,1
JASPER-IL,1
MONTGOMERY-KY,1
MADISON-VA,2
KERN-CA,30
HUMBOLDT-CA,12
ALACHUA-FL,23
BOISE-ID,1
LAUREL-KY,3
WABASHA-MN,3
MONTGOMERY-MS,1
BIG HORN-MT,2
LINCOLN-OR,2
DILLINGHAM-AK,1
POTTER-TX,4
WILCOX-AL,1
NAPA-CA,18
MONROE-IN,7
BOURBON-KY,1
MONTCALM-MI,8
DOUGLAS-WI,3
IMPERIAL-CA,8
DEL NORTE-CA,2
BURKE-GA,2
WINNEBAGO-IL,23
IROQUOIS-IL,2
DELAWARE-IN,3
BOONE-KY,11
OTSEGO-MI,3
KITTSON-MN,1
NEWTON-MS,1
TANEY-MO,3
SUMMIT-OH,42
MCKEAN-PA,5
DICKSON-TN,3
WASHINGTON-TX,3
ST. TAMMANY-LA,21
CONCORDIA-LA,1
MARENGO-AL,2
RANDOLPH-AR,1
COLLIER-FL,22
FAYETTE-GA,12
POLK-MO,2
CIBOLA-NM,2
MONTGOMERY-NY,6
COLLETON-SC,3
WASHINGTON-ME,1
BRISTOL-VA,2
ANGELINA-TX,3
GILLESPIE-TX,4
CHEROKEE-TX,2
SANTA CRUZ-CA,25
GULF-FL,2
GRATIOT-MI,3
REDWOOD-MN,2
LEAKE-MS,1
CHARITON-MO,1
CRAWFORD-MO,1
GREENE-NY,1
CARROLL-OH,1
MADISON-OH,3
DILLON-SC,1
CACHE-UT,2
INYO-CA,1
MINIDOKA-ID,1
COLES-IL,4
SIOUX-IA,12
CHICKASAW-IA,1
GALLATIN-MT,12
MIAMI-OH,9
VICTORIA-TX,8
PRINCE WILLIAM-VA,25
LYNCHBURG-VA,8
TERREBONNE-LA,10
JOHNSTON-NC,3
CALHOUN-AL,6
WASHINGTON-AR,9
SUFFOLK-MA,44
JACKSON-MN,2
ST. LOUIS-MN,9
SUSSEX-NJ,11
HARDIN-TN,2
SALT LAKE-UT,54
WHATCOM-WA,20
DENVER-CO,40
BULLOCH-GA,3
MARTIN-MN,5
HENNEPIN-MN,78
WASHINGTON-MN,16
SAN JUAN-NM,6
BENTON-TN,1
CHIPPEWA-WI,13
HARRISON-TX,3
MONTGOMERY-AL,20
FRANKLIN-GA,2
EARLY-GA,1
HENRY-IL,1
LEAVENWORTH-KS,3
BARREN-KY,1
WRIGHT-MN,8
ERIE-NY,61
CRAIG-OK,1
FALL RIVER-SD,1
BROWN-SD,9
OHIO-WV,8
GREENSVILLE-VA,1
JEFFERSON-FL,1
RANDOLPH-IL,9
HANCOCK-IL,1
STORY-IA,1
GRAND TRAVERSE-MI,10
MARION-OR,20
GARRETT-MD,1
OVERTON-TN,1
JEFFERSON-TX,7
SALEM-VA,1
FREDERICK-VA,7
HOT SPRING-AR,1
GLENN-CA,2
RENSSELAER-NY,11
GUERNSEY-OH,3
DANE-WI,38
WILKES-NC,2
MCDOWELL-NC,2
VENTURA-CA,55
COWETA-GA,5
ALLEN-IN,52
NELSON-KY,7
NANTUCKET-MA,3
ANDREW-MO,1
JEFFERSON-MO,7
AUGLAIZE-OH,1
WASHINGTON-TN,3
MINGO-WV,2
MADISON-LA,1
TENSAS-LA,1
PUTNAM-GA,1
LIBERTY-GA,2
WASHINGTON-IN,4
WARREN-KY,6
MENOMINEE-MI,2
WINONA-MN,8
TETON-MT,1
LEWIS AND CLARK-MT,6
PARK-MT,2
STARK-OH,29
ROSS-OH,3
CREEK-OK,2
LINCOLN-TN,1
OCONTO-WI,3
BARRON-WI,8
FREMONT-WY,3
GLOUCESTER-VA,2
MECKLENBURG-VA,1
JEFFERSON-AR,1
LAS ANIMAS-CO,3
DAWSON-GA,2
WHITFIELD-GA,3
HARRIS-GA,1
STARKE-IN,1
WEBSTER-IA,3
MISSISSIPPI-MO,1
WILLIAMS-ND,1
ELK-PA,5
RUTHERFORD-NC,5
TYLER-TX,1
POPE-AR,2
UPSON-GA,2
DEKALB-GA,67
EDGAR-IL,1
LAKE-MT,6
WILSON-TN,7
FRANKLIN-FL,1
PAULDING-GA,1
THOMAS-KS,2
OSCEOLA-MI,2
STEELE-MN,3
DADE-MO,1
TEXAS-MO,3
MERRIMACK-NH,16
CABELL-WV,5
LIBERTY-TX,2
FALLS CHURCH-VA,2
CUMBERLAND-ME,25
PLACER-CA,21
FORSYTH-GA,17
MARLBORO-SC,3
OZAUKEE-WI,11
TETON-WY,4
EASTLAND-TX,1
MCDONOUGH-IL,1
KNOX-IL,1
MARION-MO,2
DAKOTA-NE,1
SEWARD-NE,4
SALEM-NJ,2
MORGAN-TN,2
MARION-TN,1
ARKANSAS-AR,2
MADERA-CA,5
NEVADA-CA,7
MODOC-CA,2
FAIRFIELD-CT,70
JERSEY-IL,1
BOONE-IL,2
JOHNSON-IN,7
JONES-MS,1
FRANKLIN-MO,10
ESSEX-NY,7
MCKENZIE-ND,1
DESCHUTES-OR,21
