_c0,County-State,Drop_Out_Rate_By_County
0,ADAMS-IL,0.034312210200927354
1,ALEXANDER-IL,0.045317220543806644
2,BOND-IL,0.037037037037037035
3,BOONE-IL,0.026591230551626592
4,BROWN-IL,0.0
5,BUREAU-IL,0.13626834381551362
6,CALHOUN-IL,0.10384615384615385
7,CARROLL-IL,0.18114602587800369
8,CASS-IL,0.14308426073131955
9,CHAMPAIGN-IL,0.023646513587528964
10,CHRISTIAN-IL,0.06702208682406702
11,CLARK-IL,0.12073863636363637
12,CLAY-IL,0.25314183123877915
13,CLINTON-IL,0.03469501958589815
14,COLES-IL,0.028291316526610644
15,COOK-IL,0.04581923205692411
16,CRAWFORD-IL,0.20606826801517067
17,CUMBERLAND-IL,0.2639175257731959
18,DEKALB-IL,0.02639487782568927
19,DE WITT-IL,0.09135200974421437
20,DOUGLAS-IL,0.37291280148423006
21,DUPAGE-IL,0.03173844363152644
22,EDGAR-IL,0.033642691415313224
23,EDWARDS-IL,0.21122994652406418
24,EFFINGHAM-IL,0.11605415860735009
25,FAYETTE-IL,0.16371220020855057
26,FORD-IL,0.0991869918699187
27,FRANKLIN-IL,0.12846199175014733
28,FULTON-IL,0.03877423389618512
29,GALLATIN-IL,0.06986899563318777
30,GREENE-IL,0.04264705882352941
31,GRUNDY-IL,0.0712966383450314
32,HAMILTON-IL,0.24752475247524752
33,HANCOCK-IL,0.11166875784190715
34,HARDIN-IL,0.13636363636363635
35,HENDERSON-IL,0.03333333333333333
36,HENRY-IL,0.021617293835068056
37,IROQUOIS-IL,0.007358351729212656
38,JACKSON-IL,0.04849681808207154
39,JASPER-IL,0.0027624309392265192
40,JEFFERSON-IL,0.1330998248686515
41,JERSEY-IL,0.07239819004524888
42,JO DAVIESS-IL,0.0
43,JOHNSON-IL,0.04725897920604915
44,KANE-IL,0.0448282553852125
45,KANKAKEE-IL,0.06857891671520093
46,KENDALL-IL,0.048535564853556486
47,KNOX-IL,0.05186267348429511
48,LAKE-IL,0.04361601258065262
49,LASALLE-IL,0.07735742518351214
50,LAWRENCE-IL,0.4211469534050179
51,LEE-IL,0.050642479213907785
52,LIVINGSTON-IL,0.026358257127487898
53,LOGAN-IL,0.0749063670411985
54,MCDONOUGH-IL,0.0612736660929432
55,MCHENRY-IL,0.036505404926457555
56,MCLEAN-IL,0.03552866340857963
57,MACON-IL,0.11524235935370838
58,MACOUPIN-IL,0.030276046304541407
59,MADISON-IL,0.05041087231352718
60,MARION-IL,0.06423718344657196
61,MARSHALL-IL,0.06805293005671077
62,MASON-IL,0.0
63,MASSAC-IL,0.11148648648648649
64,MENARD-IL,0.029259896729776247
65,MERCER-IL,0.08011049723756906
66,MONROE-IL,0.01077996195307546
67,MONTGOMERY-IL,0.09690893901420217
68,MORGAN-IL,0.025278058645096056
69,MOULTRIE-IL,0.38161209068010077
70,OGLE-IL,0.031424025457438345
71,PEORIA-IL,0.04339766655762731
72,PERRY-IL,0.10785340314136126
73,PIATT-IL,0.10379746835443038
74,PIKE-IL,0.020030816640986132
75,POPE-IL,0.23232323232323232
76,PULASKI-IL,0.05070422535211268
77,PUTNAM-IL,0.03690036900369004
78,RANDOLPH-IL,0.04579630895420369
79,RICHLAND-IL,0.0458970792767733
80,ROCK ISLAND-IL,0.05409395973154362
81,ST. CLAIR-IL,0.07609549238259777
82,SALINE-IL,0.13560975609756099
83,SANGAMON-IL,0.04884453781512605
84,SCHUYLER-IL,0.05411764705882353
85,SCOTT-IL,0.0375
86,SHELBY-IL,0.07003089598352215
87,STARK-IL,0.08968609865470852
88,STEPHENSON-IL,0.06607236497115888
89,TAZEWELL-IL,0.07713588283157038
90,UNION-IL,0.056890012642225034
91,VERMILION-IL,0.08809135399673736
92,WABASH-IL,0.11397849462365592
93,WARREN-IL,0.008340283569641367
94,WASHINGTON-IL,0.03179650238473768
95,WAYNE-IL,0.21477428180574556
96,WHITE-IL,0.03345724907063197
97,WHITESIDE-IL,0.07334525939177101
98,WILL-IL,0.044977060195051016
99,WILLIAMSON-IL,0.04331306990881459
100,WINNEBAGO-IL,0.08864849676875527
101,WOODFORD-IL,0.020872865275142316
0,ADAIR-OK,0.13366336633663367
1,ALFALFA-OK,0.06382978723404255
2,ATOKA-OK,0.05740181268882175
3,BEAVER-OK,0.07916666666666666
4,BECKHAM-OK,0.022433132010353754
5,BLAINE-OK,0.08196721311475409
6,BRYAN-OK,0.07377979568671963
7,CADDO-OK,0.1078894133513149
8,CANADIAN-OK,0.038612123666801675
9,CARTER-OK,0.11324786324786325
10,CHEROKEE-OK,0.05589860253493663
11,CHOCTAW-OK,0.1111111111111111
12,CIMARRON-OK,0.0
13,CLEVELAND-OK,0.02350920826671404
14,COAL-OK,0.13284132841328414
15,COMANCHE-OK,0.05844330729868031
16,COTTON-OK,0.045454545454545456
17,CRAIG-OK,0.1510989010989011
18,CREEK-OK,0.08226792662590328
19,CUSTER-OK,0.004335260115606936
20,DELAWARE-OK,0.10652065704330513
21,DEWEY-OK,0.016722408026755852
22,ELLIS-OK,0.09859154929577464
23,GARFIELD-OK,0.0705768611021592
24,GARVIN-OK,0.11692506459948321
25,GRADY-OK,0.05134150380920835
26,GRANT-OK,0.023696682464454975
27,GREER-OK,0.18232044198895028
28,HARMON-OK,0.265625
29,HARPER-OK,0.09558823529411764
30,HASKELL-OK,0.09657320872274143
31,HUGHES-OK,0.04114490161001789
32,JACKSON-OK,0.006405124099279423
33,JEFFERSON-OK,0.09826589595375723
34,JOHNSTON-OK,0.023529411764705882
35,KAY-OK,0.10335917312661498
36,KINGFISHER-OK,0.21769662921348315
37,KIOWA-OK,0.005571030640668524
38,LATIMER-OK,0.04560260586319218
39,LE FLORE-OK,0.06486074017550553
40,LINCOLN-OK,0.10319539025667888
41,LOGAN-OK,0.026278906797477224
42,LOVE-OK,0.05472636815920398
43,MCCLAIN-OK,0.004610419548178884
44,MCCURTAIN-OK,0.10466666666666667
45,MCINTOSH-OK,0.05757575757575758
46,MAJOR-OK,0.09411764705882353
47,MARSHALL-OK,0.13734939759036144
48,MAYES-OK,0.177167219327333
49,MURRAY-OK,0.16557377049180327
50,MUSKOGEE-OK,0.11263187909894497
51,NOBLE-OK,0.0852994555353902
52,NOWATA-OK,0.0199203187250996
53,OKFUSKEE-OK,0.17463235294117646
54,OKLAHOMA-OK,0.08241183502689779
55,OKMULGEE-OK,0.08132260947274352
56,OSAGE-OK,0.06861443116423196
57,OTTAWA-OK,0.05725971370143149
58,PAWNEE-OK,0.14174252275682706
59,PAYNE-OK,0.022042093287827077
60,PITTSBURG-OK,0.1290994273815721
61,PONTOTOC-OK,0.054930211616389016
62,POTTAWATOMIE-OK,0.046281734441698495
63,PUSHMATAHA-OK,0.08687258687258688
64,ROGER MILLS-OK,0.2125
65,ROGERS-OK,0.051054154609342706
66,SEMINOLE-OK,0.07040229885057471
67,SEQUOYAH-OK,0.09652333028362306
68,STEPHENS-OK,0.07074109720885467
69,TEXAS-OK,0.04421052631578947
70,TILLMAN-OK,0.058577405857740586
71,TULSA-OK,0.08049488777300502
72,WAGONER-OK,0.04701718907987867
73,WASHINGTON-OK,0.07091391733029959
74,WASHITA-OK,0.04900459418070444
75,WOODS-OK,0.15771812080536912
76,WOODWARD-OK,0.051594746716697934
0,ADAMS-WI,0.04790419161676647
1,ASHLAND-WI,0.07809330628803246
2,BARRON-WI,0.1421994884910486
3,BAYFIELD-WI,0.044964028776978415
4,BROWN-WI,0.03885495098735616
5,BUFFALO-WI,0.07521367521367521
6,BURNETT-WI,0.07241379310344828
7,CALUMET-WI,0.008952899961074349
8,CHIPPEWA-WI,0.07012417823228634
9,CLARK-WI,0.45891472868217054
10,COLUMBIA-WI,0.11764705882352941
11,CRAWFORD-WI,0.09261744966442953
12,DANE-WI,0.02
13,DODGE-WI,0.07243300610241443
14,DOOR-WI,0.12202380952380952
15,DOUGLAS-WI,0.04429223744292238
16,DUNN-WI,0.018207282913165267
17,EAU CLAIRE-WI,0.04407514450867052
18,FLORENCE-WI,0.025
19,FOND DU LAC-WI,0.023318042813455658
20,FOREST-WI,0.02511415525114155
21,GRANT-WI,0.06505258009293226
22,GREEN-WI,0.02059357964869776
23,GREEN LAKE-WI,0.14613778705636743
24,IOWA-WI,0.030362389813907934
25,IRON-WI,0.0
26,JACKSON-WI,0.034482758620689655
27,JEFFERSON-WI,0.04142011834319527
28,JUNEAU-WI,0.05665467625899281
