County-State,Graduation-Rate
AUTAUGA-AL,0.6381766382
BALDWIN-AL,0.7168949772
BARBOUR-AL,0.6532258065
BIBB-AL,0.5823529412
BLOUNT-AL,0.6683417085
BULLOCK-AL,0.649122807
BUTLER-AL,0.533632287
CALHOUN-AL,0.6091861402
CHAMBERS-AL,0.6703786192
CHEROKEE-AL,0.6689419795
CHILTON-AL,0.6130268199
CHOCTAW-AL,0.6560509554
CLARKE-AL,0.5804195804
CLAY-AL,0.5601851852
CLEBURNE-AL,0.55625
COFFEE-AL,0.6924603175
COLBERT-AL,0.6785714286
CONECUH-AL,0.6616541353
COOSA-AL,0.5862068966
COVINGTON-AL,0.6673640167
CRENSHAW-AL,0.5576923077
CULLMAN-AL,0.709001233
DALE-AL,0.6355932203
DALLAS-AL,0.619047619
DEKALB-AL,0.5911949686
ELMORE-AL,0.6730103806
ESCAMBIA-AL,0.6361746362
ETOWAH-AL,0.6164139161
FAYETTE-AL,0.6589861751
FRANKLIN-AL,0.5558375635
GENEVA-AL,0.6706231454
GREENE-AL,0.5466666667
HALE-AL,0.5535714286
HENRY-AL,0.687150838
HOUSTON-AL,0.6663498099
JACKSON-AL,0.5389221557
JEFFERSON-AL,0.7090387374
LAMAR-AL,0.6476683938
LAUDERDALE-AL,0.6820754717
LAWRENCE-AL,0.6135371179
LEE-AL,0.6463276836
LIMESTONE-AL,0.6865889213
LOWNDES-AL,0.6140350877
MACON-AL,0.5648854962
MADISON-AL,0.7229090909
MARENGO-AL,0.5085470085
MARION-AL,0.5793450882
MARSHALL-AL,0.6062378168
MOBILE-AL,0.6521553564
MONROE-AL,0.6880733945
MONTGOMERY-AL,0.6739130435
MORGAN-AL,0.6583541147
PERRY-AL,0.6721311475
PICKENS-AL,0.6885245902
PIKE-AL,0.6577777778
RANDOLPH-AL,0.5696202532
RUSSELL-AL,0.5965292842
ST. CLAIR-AL,0.6526806527
SHELBY-AL,0.7334465195
SUMTER-AL,0.6634615385
TALLADEGA-AL,0.5400552486
TALLAPOOSA-AL,0.5804347826
TUSCALOOSA-AL,0.7193263833
WALKER-AL,0.6172413793
WASHINGTON-AL,0.6512820513
WILCOX-AL,0.4455445545
WINSTON-AL,0.5736196319
ALEUTIANS EAST BOROUGH-AK,""
ALEUTIANS WEST CENSUS AREA-AK,""
ANCHORAGE BOROUGH-AK,0.5896024465
BETHEL CENSUS AREA-AK,""
BRISTOL BAY BOROUGH-AK,""
DENALI BOROUGH-AK,""
DILLINGHAM CENSUS AREA-AK,""
FAIRBANKS NORTH STAR BOROUGH-AK,0.5911708253
HAINES BOROUGH-AK,""
JUNEAU BOROUGH-AK,0.6570247934
KENAI PENINSULA BOROUGH-AK,0.6394052045
KETCHIKAN GATEWAY BOROUGH-AK,0.701754386
KODIAK ISLAND BOROUGH-AK,0.5909090909
LAKE AND PENINSULA BOROUGH-AK,""
MATANUSKA-SUSITNA BOROUGH-AK,0.5838041431
NOME CENSUS AREA-AK,""
NORTH SLOPE BOROUGH-AK,""
NORTHWEST ARCTIC BOROUGH-AK,""
PRINCE OF WALES-OUTER KETCHIKAN CENSUS AREA-AK,0.5333333333
SITKA BOROUGH-AK,0.5762711864
