County-State,Graduation-Rate
CLEBURNE-AL,98.0
COFFEE-AL,96.23
COOSA-AL,82.5
COVINGTON-AL,95.28
CRENSHAW-AL,92.5
DALE-AL,90.44
DEKALB-AL,91.78
ESCAMBIA-AL,84.13
FAYETTE-AL,92.5
GENEVA-AL,94.31
HENRY-AL,92.5
LAMAR-AL,87.5
LAUDERDALE-AL,95.12
LAWRENCE-AL,92.0
AUTAUGA-AL,90.0
BALDWIN-AL,85.0
BARBOUR-AL,86.17
BIBB-AL,85.0
BLOUNT-AL,91.21
BULLOCK-AL,87.5
CHOCTAW-AL,87.5
CLARKE-AL,92.86
CLAY-AL,92.5
COLBERT-AL,88.85
CONECUH-AL,82.5
CULLMAN-AL,90.86
DALLAS-AL,90.08
ELMORE-AL,90.38
ETOWAH-AL,84.07
FRANKLIN-AL,92.8
GREENE-AL,87.5
HALE-AL,86.0
JACKSON-AL,91.51
JEFFERSON-AL,88.99
LOWNDES-AL,82.5
MACON-AL,89.0
MADISON-AL,91.76
MARENGO-AL,97.08
MARSHALL-AL,92.2
MOBILE-AL,86.44
MONROE-AL,86.0
PICKENS-AL,90.0
PIKE-AL,87.5
RUSSELL-AL,83.77
ST. CLAIR-AL,90.11
SHELBY-AL,95.46
SUMTER-AL,92.5
TALLADEGA-AL,93.44
WASHINGTON-AL,91.0
WILCOX-AL,87.5
BUTLER-AL,83.0
CALHOUN-AL,92.16
CHAMBERS-AL,85.0
CHEROKEE-AL,88.0
CHILTON-AL,86.0
TALLAPOOSA-AL,86.5
TUSCALOOSA-AL,84.72
WALKER-AL,90.63
WINSTON-AL,90.3
MONTGOMERY-AL,79.0
HOUSTON-AL,92.9
LEE-AL,89.67
LIMESTONE-AL,93.28
MARION-AL,88.5
MORGAN-AL,91.21
PERRY-AL,97.5
RANDOLPH-AL,94.65
ANCHORAGE-AK,79.94
BETHEL-AK,54.33
FAIRBANKS NORTH STAR-AK,69.54
JUNEAU-AK,77.0
KENAI PENINSULA-AK,82.0
KETCHIKAN GATEWAY-AK,77.0
MATANUSKA-SUSITNA-AK,78.0
NOME-AK,80.05
NORTH SLOPE-AK,72.5
NORTHWEST ARCTIC-AK,77.5
SITKA-AK,82.1
YUKON-KOYUKUK-AK,56.91
VALDEZ-CORDOVA-AK,74.32
KODIAK ISLAND-AK,90.0
APACHE-AZ,74.57
COCHISE-AZ,82.57
COCONINO-AZ,80.61
GILA-AZ,79.73
GRAHAM-AZ,73.56
GREENLEE-AZ,91.94
LA PAZ-AZ,79.68
MARICOPA-AZ,77.99
MOHAVE-AZ,76.87
NAVAJO-AZ,77.81
PIMA-AZ,73.93
PINAL-AZ,74.23
SANTA CRUZ-AZ,88.28
YAVAPAI-AZ,78.67
YUMA-AZ,80.28
GARLAND-AR,80.47
GRANT-AR,88.2
GREENE-AR,91.04
HOT SPRING-AR,90.72
IZARD-AR,89.82
JOHNSON-AR,88.42
LAWRENCE-AR,89.88
ARKANSAS-AR,84.56
ASHLEY-AR,82.33
BAXTER-AR,86.41
BENTON-AR,89.67
BRADLEY-AR,80.65
CHICOT-AR,91.79
CLARK-AR,74.07
CLAY-AR,96.04
CONWAY-AR,89.46
CROSS-AR,84.19
DALLAS-AR,92.5
DESHA-AR,85.17
FAULKNER-AR,89.29
HEMPSTEAD-AR,73.65
HOWARD-AR,93.41
INDEPENDENCE-AR,88.93
JACKSON-AR,83.34
JEFFERSON-AR,82.72
LITTLE RIVER-AR,89.74
LONOKE-AR,82.77
MILLER-AR,79.53
MISSISSIPPI-AR,85.63
NEVADA-AR,88.26
OUACHITA-AR,88.28
PHILLIPS-AR,80.33
PIKE-AR,93.52
PRAIRIE-AR,83.66
RANDOLPH-AR,89.08
SEBASTIAN-AR,84.35
SEVIER-AR,93.91
UNION-AR,82.45
WHITE-AR,83.59
BOONE-AR,92.17
CARROLL-AR,81.1
CLEBURNE-AR,90.88
COLUMBIA-AR,89.46
CRAIGHEAD-AR,91.8
CRAWFORD-AR,86.5
CRITTENDEN-AR,85.92
DREW-AR,86.0
FRANKLIN-AR,89.37
WASHINGTON-AR,86.19
YELL-AR,88.36
LINCOLN-AR,92.5
LOGAN-AR,93.63
MADISON-AR,87.5
MARION-AR,90.23
NEWTON-AR,88.24
PERRY-AR,86.69
POINSETT-AR,81.61
POLK-AR,91.69
POPE-AR,84.52
PULASKI-AR,72.14
ST. FRANCIS-AR,78.84
SALINE-AR,91.78
SCOTT-AR,85.37
SEARCY-AR,96.46
SHARP-AR,92.5
STONE-AR,92.5
VAN BUREN-AR,90.99
LASSEN-CA,84.98
MODOC-CA,89.0
SAN FRANCISCO-CA,72.23
SANTA BARBARA-CA,87.93
SOLANO-CA,84.26
SUTTER-CA,84.08
TRINITY-CA,88.46
VENTURA-CA,84.5
YUBA-CA,77.44
LAKE-CA,85.82
SAN BERNARDINO-CA,80.73
SANTA CRUZ-CA,87.38
ALAMEDA-CA,84.96
AMADOR-CA,88.62
BUTTE-CA,86.34
CALAVERAS-CA,93.82
COLUSA-CA,91.43
CONTRA COSTA-CA,89.25
DEL NORTE-CA,35.15
EL DORADO-CA,91.73
FRESNO-CA,81.89
GLENN-CA,77.24
HUMBOLDT-CA,85.57
IMPERIAL-CA,84.95
INYO-CA,30.14
KERN-CA,82.54
KINGS-CA,83.04
LOS ANGELES-CA,78.72
MADERA-CA,82.67
MARIN-CA,91.91
MARIPOSA-CA,92.03
MENDOCINO-CA,83.58
MERCED-CA,87.16
MONO-CA,32.31
MONTEREY-CA,84.5
NAPA-CA,89.21
NEVADA-CA,46.93
ORANGE-CA,89.96
PLACER-CA,89.53
PLUMAS-CA,87.93
RIVERSIDE-CA,87.38
SACRAMENTO-CA,80.62
SAN BENITO-CA,88.69
SAN DIEGO-CA,81.82
SAN JOAQUIN-CA,82.31
SAN LUIS OBISPO-CA,91.53
SAN MATEO-CA,88.13
SANTA CLARA-CA,83.63
SHASTA-CA,86.3
SISKIYOU-CA,89.7
SONOMA-CA,82.89
STANISLAUS-CA,84.61
TEHAMA-CA,89.04
TULARE-CA,85.36
TUOLUMNE-CA,88.95
YOLO-CA,88.77
LOGAN-CO,74.85
MONTROSE-CO,78.69
MORGAN-CO,75.27
OTERO-CO,79.39
PROWERS-CO,77.21
PUEBLO-CO,74.92
RIO GRANDE-CO,78.47
ADAMS-CO,72.14
ALAMOSA-CO,79.48
ARAPAHOE-CO,76.8
ARCHULETA-CO,92.5
BOULDER-CO,87.37
CHAFFEE-CO,77.5
CLEAR CREEK-CO,67.5
DELTA-CO,83.0
DENVER-CO,60.55
DOUGLAS-CO,90.0
EAGLE-CO,82.0
GRAND-CO,91.95
GUNNISON-CO,92.5
JEFFERSON-CO,83.0
LAKE-CO,69.06
LA PLATA-CO,75.44
LARIMER-CO,78.97
MESA-CO,76.13
MOFFAT-CO,82.5
MONTEZUMA-CO,70.61
PARK-CO,76.79
PITKIN-CO,97.5
ROUTT-CO,92.54
SUMMIT-CO,94.0
CONEJOS-CO,85.17
ELBERT-CO,88.05
EL PASO-CO,75.11
FREMONT-CO,74.29
GARFIELD-CO,81.51
SEDGWICK-CO,40.0
TELLER-CO,77.94
WELD-CO,79.5
FAIRFIELD-CT,89.31
HARTFORD-CT,83.07
LITCHFIELD-CT,91.51
MIDDLESEX-CT,95.68
NEW HAVEN-CT,83.84
NEW LONDON-CT,89.53
TOLLAND-CT,92.17
WINDHAM-CT,87.33
KENT-DE,85.48
NEW CASTLE-DE,85.29
SUSSEX-DE,86.09
DISTRICT OF COLUMBIA-DC,68.45
CALHOUN-FL,82.5
CHARLOTTE-FL,76.0
CLAY-FL,84.0
COLLIER-FL,84.0
DESOTO-FL,62.0
FLAGLER-FL,77.0
LAFAYETTE-FL,87.5
MANATEE-FL,78.0
MARTIN-FL,89.0
MONROE-FL,77.0
OKALOOSA-FL,82.0
PALM BEACH-FL,79.09
POLK-FL,69.0
PUTNAM-FL,55.0
ST. JOHNS-FL,89.87
ST. LUCIE-FL,75.0
HARDEE-FL,60.0
HENDRY-FL,77.0
HERNANDO-FL,78.0
HOLMES-FL,81.0
INDIAN RIVER-FL,81.0
ALACHUA-FL,75.22
BAKER-FL,82.0
BAY-FL,71.0
BRADFORD-FL,77.5
BREVARD-FL,86.0
BROWARD-FL,76.87
DIXIE-FL,97.5
DUVAL-FL,77.0
ESCAMBIA-FL,73.0
FRANKLIN-FL,47.5
GADSDEN-FL,65.0
GILCHRIST-FL,92.5
GULF-FL,82.5
HAMILTON-FL,72.5
HIGHLANDS-FL,64.0
HILLSBOROUGH-FL,76.0
JACKSON-FL,70.0
LAKE-FL,76.0
LEE-FL,75.0
LEON-FL,87.78
LIBERTY-FL,77.5
MADISON-FL,57.5
MARION-FL,81.0
MIAMI-DADE-FL,78.0
NASSAU-FL,91.0
OKEECHOBEE-FL,66.0
ORANGE-FL,77.73
OSCEOLA-FL,81.0
PASCO-FL,79.0
PINELLAS-FL,78.0
SANTA ROSA-FL,83.0
SEMINOLE-FL,86.0
SUMTER-FL,78.0
SUWANNEE-FL,68.0
TAYLOR-FL,67.5
UNION-FL,77.5
WAKULLA-FL,78.0
WASHINGTON-FL,70.0
SARASOTA-FL,79.0
WALTON-FL,74.0
CITRUS-FL,77.0
LEVY-FL,82.0
VOLUSIA-FL,72.0
COLUMBIA-FL,71.0
CHEROKEE-GA,86.0
CLARKE-GA,80.0
CLAYTON-GA,61.49
CLINCH-GA,87.5
APPLING-GA,87.0
BALDWIN-GA,80.0
BARROW-GA,74.0
BARTOW-GA,80.39
BERRIEN-GA,85.0
BIBB-GA,71.01
BRANTLEY-GA,78.0
BROOKS-GA,77.5
BRYAN-GA,89.0
BURKE-GA,94.0
CAMDEN-GA,89.0
CHARLTON-GA,77.5
CHATHAM-GA,81.0
COOK-GA,80.0
CRAWFORD-GA,82.5
CRISP-GA,79.0
DEKALB-GA,71.8
EFFINGHAM-GA,87.0
ELBERT-GA,82.5
EMANUEL-GA,84.0
FAYETTE-GA,92.0
FULTON-GA,72.55
GLYNN-GA,83.0
GRADY-GA,83.0
GWINNETT-GA,76.2
HABERSHAM-GA,83.0
HANCOCK-GA,97.5
HEARD-GA,92.5
HENRY-GA,84.0
JEFFERSON-GA,85.0
LAMAR-GA,92.5
LIBERTY-GA,85.0
LONG-GA,82.5
LOWNDES-GA,83.19
MCDUFFIE-GA,83.0
MCINTOSH-GA,77.5
MADISON-GA,89.0
MILLER-GA,82.5
MURRAY-GA,89.0
NEWTON-GA,81.0
OCONEE-GA,94.0
OGLETHORPE-GA,82.5
PAULDING-GA,80.0
PIERCE-GA,88.0
RABUN-GA,92.5
RICHMOND-GA,78.0
SCHLEY-GA,92.5
SCREVEN-GA,87.5
TATTNALL-GA,78.0
TAYLOR-GA,77.5
TELFAIR-GA,77.5
TROUP-GA,71.0
TWIGGS-GA,77.5
UNION-GA,97.5
WASHINGTON-GA,90.0
WAYNE-GA,82.0
WHEELER-GA,87.5
WHITFIELD-GA,76.94
WILKES-GA,77.5
WILKINSON-GA,92.5
ATKINSON-GA,82.5
BACON-GA,92.5
BANKS-GA,93.0
BEN HILL-GA,81.0
BLECKLEY-GA,87.5
BULLOCH-GA,84.15
BUTTS-GA,86.0
CANDLER-GA,87.5
CARROLL-GA,84.26
CATOOSA-GA,85.0
CHATTAHOOCHEE-GA,82.5
CHATTOOGA-GA,85.65
COWETA-GA,69.58
DADE-GA,87.5
DAWSON-GA,89.0
DECATUR-GA,78.0
DODGE-GA,90.0
DOOLY-GA,72.5
DOUGHERTY-GA,78.0
DOUGLAS-GA,88.0
EARLY-GA,87.5
ECHOLS-GA,92.5
EVANS-GA,82.5
FANNIN-GA,92.5
FLOYD-GA,89.91
FORSYTH-GA,94.0
FRANKLIN-GA,92.0
COBB-GA,80.68
COFFEE-GA,80.0
COLQUITT-GA,86.0
COLUMBIA-GA,88.0
HALL-GA,82.99
HARALSON-GA,86.93
HARRIS-GA,90.0
HART-GA,94.0
HOUSTON-GA,85.0
IRWIN-GA,82.5
JACKSON-GA,91.73
JASPER-GA,82.5
JEFF DAVIS-GA,82.5
JENKINS-GA,77.5
JOHNSON-GA,82.5
JONES-GA,78.0
LANIER-GA,77.5
LAURENS-GA,83.35
LEE-GA,87.0
LINCOLN-GA,87.5
GILMER-GA,91.0
GORDON-GA,91.72
GREENE-GA,82.5
LUMPKIN-GA,92.0
MACON-GA,77.5
MARION-GA,92.5
MERIWETHER-GA,84.0
MITCHELL-GA,87.5
PEACH-GA,83.0
PICKENS-GA,91.0
PIKE-GA,84.0
POLK-GA,81.0
PULASKI-GA,77.5
MONROE-GA,88.0
MONTGOMERY-GA,35.0
MORGAN-GA,90.0
MUSCOGEE-GA,85.0
SPALDING-GA,69.0
STEPHENS-GA,91.0
SUMTER-GA,87.5
TERRELL-GA,92.5
THOMAS-GA,84.79
TIFT-GA,83.0
TOOMBS-GA,76.88
TOWNS-GA,92.5
TREUTLEN-GA,77.5
TURNER-GA,77.5
PUTNAM-GA,82.5
RANDOLPH-GA,77.5
ROCKDALE-GA,83.0
SEMINOLE-GA,92.5
WHITE-GA,93.0
WILCOX-GA,87.5
WORTH-GA,76.0
UPSON-GA,85.0
WALKER-GA,84.38
WALTON-GA,82.73
WARE-GA,85.0
HAWAII-HI,77.3
HONOLULU-HI,82.87
KAUAI-HI,85.89
MAUI-HI,77.95
PAYETTE-ID,80.03
TETON-ID,82.5
WASHINGTON-ID,85.66
ADA-ID,75.12
BANNOCK-ID,89.33
BEAR LAKE-ID,87.5
BENEWAH-ID,85.88
BINGHAM-ID,80.89
BLAINE-ID,87.5
BOUNDARY-ID,87.5
CLEARWATER-ID,67.5
ELMORE-ID,59.83
FRANKLIN-ID,89.24
FREMONT-ID,92.5
IDAHO-ID,88.64
LEMHI-ID,77.25
NEZ PERCE-ID,82.11
OWYHEE-ID,84.31
POWER-ID,83.65
SHOSHONE-ID,88.56
TWIN FALLS-ID,81.66
VALLEY-ID,93.95
BONNER-ID,86.22
BONNEVILLE-ID,74.05
CANYON-ID,77.26
CASSIA-ID,84.0
GEM-ID,81.0
GOODING-ID,68.44
JEFFERSON-ID,85.23
JEROME-ID,81.53
KOOTENAI-ID,76.46
LATAH-ID,86.83
MADISON-ID,89.29
MINIDOKA-ID,68.0
ONEIDA-ID,92.5
FAYETTE-IL,79.93
FORD-IL,83.4
FRANKLIN-IL,79.95
FULTON-IL,89.84
GREENE-IL,84.77
GRUNDY-IL,90.43
BOND-IL,89.01
CASS-IL,81.92
CLARK-IL,85.12
CLINTON-IL,91.29
COOK-IL,82.56
DUPAGE-IL,93.58
JASPER-IL,92.5
LAKE-IL,89.68
LAWRENCE-IL,76.49
MARSHALL-IL,76.26
MASON-IL,88.89
MENARD-IL,82.45
PIATT-IL,91.72
ROCK ISLAND-IL,88.43
SALINE-IL,82.43
UNION-IL,80.13
WABASH-IL,82.5
WASHINGTON-IL,83.24
WILL-IL,88.62
ADAMS-IL,87.47
BOONE-IL,83.64
BROWN-IL,87.5
BUREAU-IL,83.96
CARROLL-IL,88.72
CHAMPAIGN-IL,86.84
CHRISTIAN-IL,90.0
CLAY-IL,69.03
COLES-IL,91.14
CRAWFORD-IL,85.09
CUMBERLAND-IL,96.38
DEKALB-IL,86.76
DE WITT-IL,89.11
DOUGLAS-IL,93.87
EDGAR-IL,83.7
EDWARDS-IL,87.5
EFFINGHAM-IL,89.51
LEE-IL,85.5
LIVINGSTON-IL,87.86
LOGAN-IL,80.83
MCDONOUGH-IL,86.73
MCHENRY-IL,91.47
MCLEAN-IL,88.12
MACON-IL,79.06
HAMILTON-IL,92.5
HANCOCK-IL,71.63
HENDERSON-IL,77.5
HENRY-IL,89.07
IROQUOIS-IL,87.43
JACKSON-IL,85.02
JEFFERSON-IL,82.95
JERSEY-IL,86.0
JO DAVIESS-IL,89.09
JOHNSON-IL,93.35
KANE-IL,85.05
KANKAKEE-IL,85.27
KENDALL-IL,93.12
KNOX-IL,86.88
LASALLE-IL,82.96
ST. CLAIR-IL,85.04
SANGAMON-IL,84.92
SCHUYLER-IL,87.5
SHELBY-IL,85.77
MACOUPIN-IL,88.04
MADISON-IL,84.97
MARION-IL,81.65
MASSAC-IL,81.89
MERCER-IL,90.11
MONROE-IL,92.99
MONTGOMERY-IL,85.44
MORGAN-IL,79.24
MOULTRIE-IL,93.28
OGLE-IL,89.88
PEORIA-IL,77.46
PERRY-IL,90.23
PIKE-IL,77.3
PUTNAM-IL,92.5
RANDOLPH-IL,88.8
RICHLAND-IL,92.5
STARK-IL,87.5
STEPHENSON-IL,85.99
TAZEWELL-IL,86.37
VERMILION-IL,78.71
WARREN-IL,84.01
WAYNE-IL,83.45
WHITE-IL,87.37
WHITESIDE-IL,88.87
WILLIAMSON-IL,81.29
WINNEBAGO-IL,74.47
WOODFORD-IL,92.01
CRAWFORD-IN,87.5
DEARBORN-IN,93.03
DECATUR-IN,92.5
DELAWARE-IN,93.6
DUBOIS-IN,94.75
ELKHART-IN,86.91
FAYETTE-IN,92.0
FLOYD-IN,91.14
FOUNTAIN-IN,93.97
FRANKLIN-IN,94.83
GRANT-IN,95.78
GREENE-IN,93.51
HAMILTON-IN,93.9
HANCOCK-IN,92.24
HENDRICKS-IN,96.69
HENRY-IN,92.19
HUNTINGTON-IN,90.0
JASPER-IN,90.19
JAY-IN,95.0
JEFFERSON-IN,85.9
JENNINGS-IN,89.0
JOHNSON-IN,91.44
KOSCIUSKO-IN,91.01
LAGRANGE-IN,92.5
ADAMS-IN,93.86
BENTON-IN,92.5
CASS-IN,91.27
DAVIESS-IN,93.05
DEKALB-IN,90.84
FULTON-IN,90.45
GIBSON-IN,89.46
HARRISON-IN,92.52
HOWARD-IN,81.67
