
County-State,Percentage of Teens Who Work Part or Full time
AUTAUGA-AL,0.3980933596318212
BALDWIN-AL,0.5055566387209982
BARBOUR-AL,0.22541743970315398
BIBB-AL,0.33740191804707936
BLOUNT-AL,0.31064799739498533
BULLOCK-AL,0.2292849035187287
BUTLER-AL,0.3872832369942196
CALHOUN-AL,0.4184251968503937
CHAMBERS-AL,0.425764192139738
CHEROKEE-AL,0.3281121187139324
CHILTON-AL,0.33063363506431637
CHOCTAW-AL,0.43373493975903615
CLARKE-AL,0.2194756554307116
CLAY-AL,0.26207906295754024
CLEBURNE-AL,0.516320474777448
COFFEE-AL,0.3646779928881865
COLBERT-AL,0.38686708860759494
CONECUH-AL,0.30735930735930733
COOSA-AL,0.5420560747663551
COVINGTON-AL,0.37809187279151946
CRENSHAW-AL,0.30971993410214166
CULLMAN-AL,0.4230769230769231
DALE-AL,0.3333333333333333
DALLAS-AL,0.2447058823529412
DEKALB-AL,0.412853470437018
ELMORE-AL,0.4521452145214521
ESCAMBIA-AL,0.21961620469083157
ETOWAH-AL,0.43624733475479743
FAYETTE-AL,0.38562091503267976
FRANKLIN-AL,0.514747191011236
GENEVA-AL,0.30398162327718226
GREENE-AL,0.1509433962264151
HALE-AL,0.44069767441860463
HENRY-AL,0.3353353353353353
HOUSTON-AL,0.3782908059943297
JACKSON-AL,0.38091143594153054
JEFFERSON-AL,0.4250486891385768
LAMAR-AL,0.41333333333333333
LAUDERDALE-AL,0.5105218855218855
LAWRENCE-AL,0.4214876033057851
LEE-AL,0.4856394661260348
LIMESTONE-AL,0.34402151427389327
LOWNDES-AL,0.4221698113207547
MACON-AL,0.4941896024464832
MADISON-AL,0.4709467269097405
MARENGO-AL,0.29493545183714004
MARION-AL,0.45294117647058824
MARSHALL-AL,0.38010204081632654
MOBILE-AL,0.33051126475706694
MONROE-AL,0.3003194888178914
MONTGOMERY-AL,0.43176954732510286
MORGAN-AL,0.45677487649964715
PERRY-AL,0.5202578268876611
PICKENS-AL,0.23980099502487562
PIKE-AL,0.41346153846153844
RANDOLPH-AL,0.3492779783393502
RUSSELL-AL,0.3275996872556685
ST. CLAIR-AL,0.457689284778622
SHELBY-AL,0.502266313178825
SUMTER-AL,0.4784394250513347
TALLADEGA-AL,0.3992015968063872
TALLAPOOSA-AL,0.5092724679029957
TUSCALOOSA-AL,0.5611773874467958
WALKER-AL,0.45866209262435675
WASHINGTON-AL,0.13861386138613863
WILCOX-AL,0.26802507836990597
WINSTON-AL,0.5195424213536701
ALEUTIANS EAST BOROUGH-AK,0.5
ALEUTIANS WEST CENSUS AREA-AK,0.6095617529880478
ANCHORAGE MUNICIPALITY-AK,0.5037385174108097
BETHEL CENSUS AREA-AK,0.4711297071129707
BRISTOL BAY BOROUGH-AK,0.6666666666666666
DENALI BOROUGH-AK,0.8926174496644296
DILLINGHAM CENSUS AREA-AK,0.3939393939393939
FAIRBANKS NORTH STAR BOROUGH-AK,0.6469019286007386
HAINES BOROUGH-AK,0.9692307692307692
HOONAH-ANGOON CENSUS AREA-AK,0.6170212765957447
JUNEAU CITY AND BOROUGH-AK,0.5662393162393162
KENAI PENINSULA BOROUGH-AK,0.5880084151472651
KETCHIKAN GATEWAY BOROUGH-AK,0.6200345423143351
KODIAK ISLAND BOROUGH-AK,0.5223463687150838
KUSILVAK CENSUS AREA-AK,0.44912280701754387
LAKE AND PENINSULA BOROUGH-AK,0.7538461538461538
MATANUSKA-SUSITNA BOROUGH-AK,0.4655142000352796
NOME CENSUS AREA-AK,0.4009584664536741
NORTH SLOPE BOROUGH-AK,0.5772357723577236
NORTHWEST ARCTIC BOROUGH-AK,0.2803921568627451
PETERSBURG BOROUGH-AK,0.711864406779661
PRINCE OF WALES-HYDER CENSUS AREA-AK,0.6325088339222615
SITKA CITY AND BOROUGH-AK,0.573170731707317
SKAGWAY MUNICIPALITY-AK,0.8793103448275862
SOUTHEAST FAIRBANKS CENSUS AREA-AK,0.3514285714285714
WRANGELL CITY AND BOROUGH-AK,0.7478991596638656
YAKUTAT CITY AND BOROUGH-AK,0.6
YUKON-KOYUKUK CENSUS AREA-AK,0.6494464944649446
CHUGACH CENSUS AREA-AK,0.793859649122807
COPPER RIVER CENSUS AREA-AK,0.45348837209302323
APACHE-AZ,0.14294940796555436
COCHISE-AZ,0.40403372458257564
COCONINO-AZ,0.6136892450879007
GILA-AZ,0.29720479178551057
GRAHAM-AZ,0.31587697423108896
GREENLEE-AZ,0.3573667711598746
LA PAZ-AZ,0.3826086956521739
MARICOPA-AZ,0.44211228422710136
MOHAVE-AZ,0.447074122236671
NAVAJO-AZ,0.2687435809654228
PIMA-AZ,0.42641213482344975
