County-State,SVI
GRUNDY-IL,0.0844
MOULTRIE-IL,0.2949
MENARD-IL,0.0484
DUPAGE-IL,0.1611
MCLEAN-IL,0.1904
WASHINGTON-IL,0.0653
ADAMS-IL,0.249
WOODFORD-IL,0.0188
HENDERSON-IL,0.0669
CLINTON-IL,0.1787
BUREAU-IL,0.2863
JO DAVIESS-IL,0.0525
MARSHALL-IL,0.0545
MERCER-IL,0.1134
HAMILTON-IL,0.1529
CLARK-IL,0.2073
STARK-IL,0.0634
GREENE-IL,0.1952
LOGAN-IL,0.2271
PIATT-IL,0.0032
JERSEY-IL,0.1041
JASPER-IL,0.2417
CARROLL-IL,0.1682
CALHOUN-IL,0.1901
HENRY-IL,0.201
MACOUPIN-IL,0.1987
MCHENRY-IL,0.0701
TAZEWELL-IL,0.107
MASON-IL,0.2946
EFFINGHAM-IL,0.199
WILL-IL,0.2022
LEE-IL,0.301
FORD-IL,0.3051
SHELBY-IL,0.085
KENDALL-IL,0.1398
CHRISTIAN-IL,0.2408
OGLE-IL,0.2917
MONROE-IL,0.0016
PUTNAM-IL,0.0277
HANCOCK-IL,0.1232
DE WITT-IL,0.129
CUMBERLAND-IL,0.1627
MADISON-IL,0.2965
SCOTT-IL,0.1354
EDWARDS-IL,0.2443
WABASH-IL,0.3207
WHITESIDE-IL,0.3283
LAKE-IL,0.3513
IROQUOIS-IL,0.3404
PIKE-IL,0.3494
EDGAR-IL,0.3433
BOND-IL,0.3732
CRAWFORD-IL,0.3838
MONTGOMERY-IL,0.3914
GALLATIN-IL,0.4538
LASALLE-IL,0.4303
RANDOLPH-IL,0.4567
BOONE-IL,0.4697
HARDIN-IL,0.5019
WAYNE-IL,0.4331
STEPHENSON-IL,0.5
KANE-IL,0.4169
DOUGLAS-IL,0.4439
CHAMPAIGN-IL,0.499
BROWN-IL,0.4745
MORGAN-IL,0.5045
JOHNSON-IL,0.4624
LIVINGSTON-IL,0.4841
DEKALB-IL,0.4866
MCDONOUGH-IL,0.5166
COLES-IL,0.4978
WILLIAMSON-IL,0.4806
RICHLAND-IL,0.4105
POPE-IL,0.4545
SANGAMON-IL,0.4357
FRANKLIN-IL,0.6092
WARREN-IL,0.6073
WHITE-IL,0.5382
