County-State,Public
PIKE-AR,8
CLAY-AR,7
NEW HAVEN-CT,269
MENARD-IL,8
RUSSELL-KS,5
BREATHITT-KY,10
ADAMS-NE,18
MOODY-SD,8
GLASSCOCK-TX,6
LA SALLE-TX,12
KENT-TX,3
PITTSYLVANIA-VA,63
YAVAPAI-AZ,100
BRADLEY-AR,7
HEMPSTEAD-AR,9
MARSHALL-IL,9
CRAWFORD-IL,10
CLARK-IL,9
HARRISON-IA,10
WALTHALL-MS,6
BANNER-NE,2
MERRICK-NE,10
CAPE MAY-NJ,34
FOSTER-ND,3
YORK-PA,108
MINER-SD,4
UNICOI-TN,6
DAGGETT-UT,4
BOONE-WV,14
LARAMIE-WY,45
SUFFOLK-VA,68
DUPLIN-NC,42
GRAND-CO,7
ALEXANDER-IL,5
ST. CLAIR-MI,56
KEYA PAHA-NE,3
CEDAR-NE,10
CARSON CITY-NV,15
JEFFERSON-OH,23
ERIE-OH,28
TIOGA-PA,14
EDMUNDS-SD,13
ETOWAH-AL,41
CHILTON-AL,14
FRESNO-CA,351
DOUGLAS-CO,93
FULTON-IL,24
GALLATIN-IL,3
NEWTON-IN,7
CASS-IN,17
CALHOUN-MI,57
CLINTON-MO,12
SCHUYLER-NY,6
JEFFERSON-TN,11
PRESTON-WV,10
PRINCE GEORGE'S-MD,624
GREGG-TX,133
EAST CARROLL-LA,9
COMAL-TX,138
CULLMAN-AL,35
PINAL-AZ,144
LEE-AR,2
MONTEREY-CA,149
JACKSON-CO,1
WALTON-FL,20
SCHLEY-GA,2
WILKES-GA,4
ELKHART-IN,57
SCOTT-IA,52
OTTAWA-KS,6
COWLEY-KS,22
BOONE-MO,55
PUTNAM-OH,23
MARSHALL-OK,6
BERKS-PA,98
AIKEN-SC,40
BURKE-NC,86
SCOTLAND-NC,36
GILA-AZ,36
CHARLOTTE-FL,26
ORANGE-FL,275
TELFAIR-GA,4
MONTGOMERY-GA,3
CLINTON-IA,18
DAVIS-IA,3
MITCHELL-KS,4
MARION-KY,11
CHISAGO-MN,27
YAZOO-MS,10
SWEET GRASS-MT,6
MORTON-ND,24
LUZERNE-PA,65
CRANE-TX,9
PRESIDIO-TX,12
EDWARDS-TX,6
LEE-NC,52
NORTHAMPTON-NC,24
HYDE-NC,9
YANCEY-NC,27
CHESAPEAKE-VA,151
NEWPORT NEWS-VA,151
GOOCHLAND-VA,15
ALEUTIANS EAST-AK,12
BUCKINGHAM-VA,15
LA PLATA-CO,24
QUITMAN-GA,2
WORTH-GA,5
POSEY-IN,9
CRAWFORD-IA,13
ALLAMAKEE-IA,10
LAWRENCE-KY,6
ARENAC-MI,10
CROW WING-MN,23
POLK-MN,20
KEMPER-MS,4
RAVALLI-MT,22
LAKE-OH,58
MEIGS-OH,8
CODINGTON-SD,17
MAURY-TN,21
UINTAH-UT,16
CLARK-WA,139
OUTAGAMIE-WI,72
DURHAM-NC,213
PASQUOTANK-NC,44
PENDER-NC,54
YORK-ME,185
WINCHESTER-VA,26
TOWNS-GA,3
SANGAMON-IL,74
ANDERSON-KS,6
WAYNE-MI,608
ISANTI-MN,20
WAYNE-MS,8
MONROE-WV,5
MOORE-TX,36
SMITH-TX,197
RANDALL-TX,113
SWISHER-TX,24
LUBBOCK-TX,324
CONEJOS-CO,10
PICKENS-GA,7
WALLACE-KS,4
MCLEOD-MN,19
MILLE LACS-MN,22
LAFAYETTE-MO,19
PHILLIPS-MT,13
CORTLAND-NY,18
CASS-ND,59
HENRY-OH,11
LAKE-TN,3
KIMBLE-TX,9
CLAY-AL,4
MERCED-CA,114
CLEAR CREEK-CO,5
POLK-GA,11
HOUSTON-GA,37
LAMAR-GA,4
TIPPECANOE-IN,37
WHITLEY-IN,11
HENRY-IN,18
HANCOCK-IN,22
KNOTT-KY,8
ISABELLA-MI,22
BAY-MI,36
JACKSON-MI,73
JACKSON-MO,234
HIDALGO-NM,7
SANTA FE-NM,52
DOUGLAS-OR,48
DOUGLAS-SD,6
DEWEY-SD,10
CAMPBELL-SD,3
SUMMIT-UT,24
CROOK-WY,6
DAVIDSON-NC,144
BELL-TX,377
RUNNELS-TX,39
WEBB-TX,279
IRION-TX,6
LLANO-TX,15
KINNEY-TX,9
WALKER-TX,54
VERMILION-LA,66
PITKIN-CO,6
SANTA ROSA-FL,39
GADSDEN-FL,24
LINCOLN-GA,3
JEFFERSON-ID,15
ROCK ISLAND-IL,54
SHERIDAN-KS,3
HARLAN-KY,14
MORRISON-MN,24
CLEARWATER-MN,5
MONROE-MO,10
LE FLORE-OK,38
KENT-RI,46
SHAWANO-WI,17
CLARK-AR,9
CRAIGHEAD-AR,36
COSTILLA-CO,2
WINDHAM-CT,52
