County-State,Percentage-Private-School,Percentage-Public-School
PIKE-AR,0.1111111111111111,0.8888888888888888
ADAMS-NE,0.18181818181818182,0.8181818181818182
BREATHITT-KY,0.23076923076923078,0.7692307692307693
NEW HAVEN-CT,0.19461077844311378,0.8053892215568862
BRADLEY-AR,0.125,0.875
HEMPSTEAD-AR,0.18181818181818182,0.8181818181818182
LARAMIE-WY,0.1,0.9
YORK-PA,0.23943661971830985,0.7605633802816901
BOONE-WV,0.125,0.875
CRAWFORD-IL,0.09090909090909091,0.9090909090909091
YAVAPAI-AZ,0.10714285714285714,0.8928571428571429
CAPE MAY-NJ,0.17073170731707318,0.8292682926829268
CEDAR-NE,0.16666666666666666,0.8333333333333334
TIOGA-PA,0.2631578947368421,0.7368421052631579
ALEXANDER-IL,0.16666666666666666,0.8333333333333334
JEFFERSON-OH,0.08,0.92
ERIE-OH,0.0967741935483871,0.9032258064516129
CARSON CITY-NV,0.11764705882352941,0.8823529411764706
GRAND-CO,0.2222222222222222,0.7777777777777778
ST. CLAIR-MI,0.13846153846153847,0.8615384615384616
SCHUYLER-NY,0.14285714285714285,0.8571428571428571
FRESNO-CA,0.06149732620320856,0.9385026737967914
JEFFERSON-TN,0.08333333333333333,0.9166666666666666
DOUGLAS-CO,0.16964285714285715,0.8303571428571429
CALHOUN-MI,0.08064516129032258,0.9193548387096774
ETOWAH-AL,0.10869565217391304,0.8913043478260869
CHILTON-AL,0.06666666666666667,0.9333333333333333
LEE-AR,0.5,0.5
ELKHART-IN,0.43,0.57
BERKS-PA,0.32413793103448274,0.6758620689655173
PUTNAM-OH,0.11538461538461539,0.8846153846153846
MONTEREY-CA,0.1130952380952381,0.8869047619047619
BOONE-MO,0.2361111111111111,0.7638888888888888
AIKEN-SC,0.23076923076923078,0.7692307692307693
PINAL-AZ,0.02040816326530612,0.9795918367346939
WALTON-FL,0.23076923076923078,0.7692307692307693
COWLEY-KS,0.12,0.88
SCOTT-IA,0.13333333333333333,0.8666666666666667
CULLMAN-AL,0.125,0.875
MARION-KY,0.08333333333333333,0.9166666666666666
LUZERNE-PA,0.2857142857142857,0.7142857142857143
MONTGOMERY-GA,0.25,0.75
YAZOO-MS,0.16666666666666666,0.8333333333333334
GILA-AZ,0.07692307692307693,0.9230769230769231
CHARLOTTE-FL,0.23529411764705882,0.7647058823529411
ORANGE-FL,0.34988179669030733,0.6501182033096927
MITCHELL-KS,0.42857142857142855,0.5714285714285714
CLINTON-IA,0.1,0.9
MORTON-ND,0.04,0.96
CHISAGO-MN,0.06896551724137931,0.9310344827586207
POSEY-IN,0.25,0.75
CLARK-WA,0.13125,0.86875
LAWRENCE-KY,0.14285714285714285,0.8571428571428571
RAVALLI-MT,0.12,0.88
UINTAH-UT,0.058823529411764705,0.9411764705882353
LAKE-OH,0.17142857142857143,0.8285714285714286
MEIGS-OH,0.1111111111111111,0.8888888888888888
MAURY-TN,0.2222222222222222,0.7777777777777778
LA PLATA-CO,0.22580645161290322,0.7741935483870968
OUTAGAMIE-WI,0.2,0.8
CRAWFORD-IA,0.07142857142857142,0.9285714285714286
ALLAMAKEE-IA,0.09090909090909091,0.9090909090909091
CROW WING-MN,0.14814814814814814,0.8518518518518519
POLK-MN,0.2,0.8
CODINGTON-SD,0.19047619047619047,0.8095238095238095
MONROE-WV,0.16666666666666666,0.8333333333333334
SANGAMON-IL,0.18681318681318682,0.8131868131868132
TOWNS-GA,0.25,0.75
ANDERSON-KS,0.14285714285714285,0.8571428571428571
WAYNE-MI,0.11240875912408758,0.8875912408759125
ISANTI-MN,0.13043478260869565,0.8695652173913043
CORTLAND-NY,0.18181818181818182,0.8181818181818182
PICKENS-GA,0.125,0.875
HENRY-OH,0.21428571428571427,0.7857142857142857
LAFAYETTE-MO,0.20833333333333334,0.7916666666666666
CASS-ND,0.078125,0.921875
MCLEOD-MN,0.24,0.76
MILLE LACS-MN,0.12,0.88
TIPPECANOE-IN,0.1956521739130435,0.8043478260869565
WHITLEY-IN,0.26666666666666666,0.7333333333333333
HENRY-IN,0.14285714285714285,0.8571428571428571
HANCOCK-IN,0.12,0.88
KNOTT-KY,0.1111111111111111,0.8888888888888888
SUMMIT-UT,0.1111111111111111,0.8888888888888888
POLK-GA,0.08333333333333333,0.9166666666666666
HOUSTON-GA,0.1590909090909091,0.8409090909090909
LAMAR-GA,0.42857142857142855,0.5714285714285714
MERCED-CA,0.09523809523809523,0.9047619047619048
JACKSON-MO,0.15217391304347827,0.8478260869565217
DOUGLAS-OR,0.12727272727272726,0.8727272727272727
SANTA FE-NM,0.23529411764705882,0.7647058823529411
ISABELLA-MI,0.18518518518518517,0.8148148148148148
BAY-MI,0.21739130434782608,0.782608695652174
JACKSON-MI,0.0875,0.9125
CLAY-AL,0.3333333333333333,0.6666666666666666
DEWEY-SD,0.09090909090909091,0.9090909090909091
KENT-RI,0.20689655172413793,0.7931034482758621
HARLAN-KY,0.06666666666666667,0.9333333333333333
ROCK ISLAND-IL,0.14285714285714285,0.8571428571428571
MONROE-MO,0.16666666666666666,0.8333333333333334
SHAWANO-WI,0.2916666666666667,0.7083333333333334
SANTA ROSA-FL,0.11363636363636363,0.8863636363636364
GADSDEN-FL,0.1111111111111111,0.8888888888888888
MORRISON-MN,0.07692307692307693,0.9230769230769231
CRAIGHEAD-AR,0.1,0.9
JEFFERSON-IN,0.3125,0.6875
JEFFERSON-WA,0.21052631578947367,0.7894736842105263
POTTER-PA,0.2857142857142857,0.7142857142857143
FRANKLIN-IL,0.13043478260869565,0.8695652173913043
WINDHAM-CT,0.16129032258064516,0.8387096774193549
FANNIN-GA,0.16666666666666666,0.8333333333333334
WARE-GA,0.09090909090909091,0.9090909090909091
MARION-SC,0.15384615384615385,0.8461538461538461
WASHINGTON-FL,0.21428571428571427,0.7857142857142857
MANATEE-FL,0.23076923076923078,0.7692307692307693
WAYNE-IN,0.41025641025641024,0.5897435897435898
MORGAN-IN,0.08333333333333333,0.9166666666666666
SPOKANE-WA,0.1813953488372093,0.8186046511627907
SHELBY-TN,0.19519519519519518,0.8048048048048048
HORRY-SC,0.16176470588235295,0.8382352941176471
MARICOPA-AZ,0.10596491228070175,0.8940350877192983
TRIGG-KY,0.3333333333333333,0.6666666666666666
LOGAN-IL,0.06666666666666667,0.9333333333333333
WILLIAMSON-IL,0.13793103448275862,0.8620689655172413
CUSTER-MT,0.13333333333333333,0.8666666666666667
