Graduation-Rate,Drop_Out_Rate_By_County,SVI,Percentage of Teens Who Work Part or Full time,Percentage-Private-School,Percentage-Public-School
30.14,0.005235602094240838,0.5701,0.5719895287958116,0.038461538461538464,0.9615384615384616
32.56,0.03646209386281588,0.0771,0.6357400722021661,0.05263157894736842,0.9473684210526315
35.0,0.04908835904628331,0.8465,0.3015427769985975,0.25,0.75
55.0,0.10617626648161,0.9525,0.27029840388619014,0.1935483870967742,0.8064516129032258
57.6,0.043923865300146414,0.743,0.4864568081991215,0.1724137931034483,0.8275862068965517
65.0,0.16717325227963525,0.7879,0.49746707193515705,0.09090909090909091,0.9090909090909091
67.33,0.07021276595744681,0.7771,0.5439716312056737,0.09523809523809523,0.9047619047619048
67.5,0.08651911468812877,0.972,0.5855130784708249,0.125,0.875
67.51,0.0779175156326846,0.8742,0.2490690648492939,0.19642857142857142,0.8035714285714286
68.33,0.1225277375783888,0.9551,0.47081524360829713,0.13157894736842105,0.868421052631579
68.78,0.03998021982123197,0.8153,0.2270428632741794,0.2832080200501253,0.7167919799498746
70.1,0.07264841420439143,0.9283,0.35917592843589047,0.10344827586206896,0.896551724137931
70.86,0.05111555111555111,0.679,0.5103230103230103,0.1111111111111111,0.8888888888888888
71.0,0.11981020166073547,0.9013,0.3638790035587189,0.25,0.75
72.13,0.06834685124633742,0.7971,0.4533950486220222,0.23423423423423423,0.7657657657657657
73.19,0.07303396820983364,0.5369,0.6094119282635896,0.32081911262798635,0.6791808873720137
74.29,0.018471337579617834,0.6525,0.4547770700636943,0.11764705882352941,0.8823529411764706
74.35,0.07079270877490462,0.9882,0.31369224247562527,0.13636363636363635,0.8636363636363636
74.47,0.08864849676875527,0.7204,0.4923433548749649,0.2,0.8
74.68,0.0587792012057272,0.6398,0.26375282592313487,0.07142857142857142,0.9285714285714286
75.12,0.031087460990637753,0.1373,0.6209890373689686,0.17857142857142858,0.8214285714285714
75.22,0.026683150466182456,0.4729,0.4562406634729305,0.25,0.75
76.0,0.07829452007463203,0.6029,0.4022527814249188,0.33695652173913043,0.6630434782608695
76.01,0.06826568265682657,0.9844,0.29704797047970477,0.08333333333333333,0.9166666666666666
76.34,0.060085836909871244,0.2618,0.8283261802575107,0.11764705882352941,0.8823529411764706
76.4,0.05849503410737638,0.6334,0.631322235181847,0.14473684210526316,0.8552631578947368
76.67,0.1350635593220339,0.7245,0.6578389830508474,0.1111111111111111,0.8888888888888888
76.88,0.06488824801730353,0.9761,0.37995674116798844,0.18181818181818182,0.8181818181818182
76.92,0.1175030599755202,0.2414,0.5104039167686658,0.21052631578947367,0.7894736842105263
