,NAME,State,Total Population 16 to 19 Years,Total_Male_Dropout,Total_Female_Dropout,Total_Dropout,County
0,Adams County,Illinois,3235,85,26,111,Adams 
1,Alexander County,Illinois,331,0,15,15,Alexander 
2,Bond County,Illinois,837,29,2,31,Bond 
3,Boone County,Illinois,3535,64,30,94,Boone 
4,Brown County,Illinois,244,0,0,0,Brown 
5,Bureau County,Illinois,1431,53,142,195,Bureau 
6,Calhoun County,Illinois,260,27,0,27,Calhoun 
7,Carroll County,Illinois,541,38,60,98,Carroll 
8,Cass County,Illinois,629,50,40,90,Cass 
9,Champaign County,Illinois,18988,297,152,449,Champaign 
10,Christian County,Illinois,1313,68,20,88,Christian 
11,Clark County,Illinois,704,14,71,85,Clark 
12,Clay County,Illinois,557,54,87,141,Clay 
13,Clinton County,Illinois,1787,47,15,62,Clinton 
14,Coles County,Illinois,3570,58,43,101,Coles 
15,Cook County,Illinois,247909,6757,4602,11359,Cook 
16,Crawford County,Illinois,791,149,14,163,Crawford 
17,Cumberland County,Illinois,485,122,6,128,Cumberland 
18,DeKalb County,Illinois,7653,142,60,202,DeKalb 
19,De Witt County,Illinois,821,16,59,75,De Witt 
20,Douglas County,Illinois,1078,306,96,402,Douglas 
21,DuPage County,Illinois,48112,615,912,1527,DuPage 
22,Edgar County,Illinois,862,15,14,29,Edgar 
23,Edwards County,Illinois,374,26,53,79,Edwards 
24,Effingham County,Illinois,1551,176,4,180,Effingham 
25,Fayette County,Illinois,959,86,71,157,Fayette 
26,Ford County,Illinois,615,22,39,61,Ford 
27,Franklin County,Illinois,1697,99,119,218,Franklin 
28,Fulton County,Illinois,1599,42,20,62,Fulton 
29,Gallatin County,Illinois,229,16,0,16,Gallatin 
30,Greene County,Illinois,680,24,5,29,Greene 
31,Grundy County,Illinois,2707,57,136,193,Grundy 
32,Hamilton County,Illinois,303,75,0,75,Hamilton 
33,Hancock County,Illinois,797,83,6,89,Hancock 
34,Hardin County,Illinois,132,18,0,18,Hardin 
35,Henderson County,Illinois,210,4,3,7,Henderson 
36,Henry County,Illinois,2498,34,20,54,Henry 
37,Iroquois County,Illinois,1359,8,2,10,Iroquois 
38,Jackson County,Illinois,4557,89,132,221,Jackson 
39,Jasper County,Illinois,362,1,0,1,Jasper 
40,Jefferson County,Illinois,1713,198,30,228,Jefferson 
41,Jersey County,Illinois,1326,96,0,96,Jersey 
42,Jo Daviess County,Illinois,856,0,0,0,Jo Daviess 
43,Johnson County,Illinois,529,17,8,25,Johnson 
44,Kane County,Illinois,30918,742,644,1386,Kane 
45,Kankakee County,Illinois,6868,215,256,471,Kankakee 
46,Kendall County,Illinois,7170,178,170,348,Kendall 
47,Knox County,Illinois,2738,66,76,142,Knox 
48,Lake County,Illinois,43241,762,1124,1886,Lake 
49,LaSalle County,Illinois,5313,280,131,411,LaSalle 
50,Lawrence County,Illinois,558,166,69,235,Lawrence 
51,Lee County,Illinois,1323,31,36,67,Lee 
52,Livingston County,Illinois,1859,30,19,49,Livingston 
53,Logan County,Illinois,1602,48,72,120,Logan 
54,McDonough County,Illinois,2905,49,129,178,McDonough 
55,McHenry County,Illinois,16929,409,209,618,McHenry 
56,McLean County,Illinois,12891,153,305,458,McLean 
57,Macon County,Illinois,5137,305,287,592,Macon 
58,Macoupin County,Illinois,2246,11,57,68,Macoupin 
59,Madison County,Illinois,12656,507,131,638,Madison 
60,Marion County,Illinois,1619,56,48,104,Marion 
61,Marshall County,Illinois,529,5,31,36,Marshall 
62,Mason County,Illinois,643,0,0,0,Mason 
63,Massac County,Illinois,592,29,37,66,Massac 
64,Menard County,Illinois,581,0,17,17,Menard 
65,Mercer County,Illinois,724,55,3,58,Mercer 
66,Monroe County,Illinois,1577,7,10,17,Monroe 
67,Montgomery County,Illinois,1197,32,84,116,Montgomery 
