,COUNTYNS,GEOID,ALAND,AWATER,NAME,State,B19049_001E,B19049_001M,B19049_002E,B19049_002M,B19049_003E,B19049_003M,B19049_004E,B19049_004M,B19049_005E,B19049_005M,B19013B_001E,B19013B_001M,B19013C_001E,B19013C_001M,B19013D_001E,B19013D_001M,B19013E_001E,B19013E_001M,B19013F_001E,B19013F_001M,B19013G_001E,B19013G_001M,B19013H_001E,B19013H_001M,B19013I_001E,B19013I_001M,B19053_001E,B19053_001M,B19053_002E,B19053_002M,B19053_003E,B19053_003M,B19053_calc_pctSelfempE,B19053_calc_pctSelfempM,Shape__Area,Shape__Length,OBJECTID
0,00161526,01001,1539634184,25674812,Autauga County,Alabama,57982,4839,38839.0,21075.0,65112,4753,80072,10309,38784,4469,30718.0,6667.0,,,98953.0,46245.0,,,110423.0,63939.0,,,65130,4944,81185.0,3532.0,21559,366,1626,308,19933,474,7.5,1.42288843855713,2208587756.70313,249970.191787819,1.0
1,00161527,01003,4117656199,1132956041,Baldwin County,Alabama,61756,2268,35982.0,15138.0,73604,5489,72345,3402,48573,2239,39500.0,5630.0,29856.0,29692.0,49406.0,47607.0,,,48105.0,14996.0,41118.0,30586.0,66695,1955,54063.0,11521.0,84047,1143,10033,989,74014,1317,11.9,1.16547021484983,5911174507.65039,537587.260724824,2.0
2,00161528,01005,2292160149,50523213,Barbour County,Alabama,34990,2909,19470.0,12134.0,37257,8477,40435,5156,31678,3150,22835.0,1825.0,,,53750.0,26828.0,,,,,,,51017,6219,30350.0,19164.0,9322,338,618,145,8704,318,6.6,1.53677484214112,3257906793.03906,320882.847904391,3.0
3,00161529,01007,1612188717,9572303,Bibb County,Alabama,51721,6237,,,53130,4084,58448,11629,45015,10747,14591.0,6406.0,,,,,,,,,20966.0,1570.0,54895,7081,63438.0,44036.0,7259,299,490,166,6769,316,6.8,2.26985034148633,2311977954.53125,227920.060972415,4.0
4,00161530,01009,1670259090,14860281,Blount County,Alabama,48922,2269,33728.0,8973.0,59128,7211,54028,4036,33119,4967,42656.0,16620.0,,,125272.0,25592.0,,,,,46399.0,11789.0,49580,2402,40783.0,12614.0,21205,430,1935,299,19270,490,9.1,1.39785027634786,2456904201.92578,292630.286902999,5.0
5,00161531,01011,1613083467,6030667,Bullock County,Alabama,33866,10094,,,17917,11807,53733,12602,36833,17958,26579.0,7922.0,,,,,,,,,,,76389,17946,,,3429,195,276,135,3153,214,8.0,3.91030879577976,2262904519.98438,249092.797012036,6.0
6,00161532,01013,2012002546,2701199,Butler County,Alabama,44850,2891,,,46932,9016,49315,5318,40590,3627,31250.0,6311.0,48556.0,477.0,,,,,,,,,56493,6365,,,6649,282,541,136,6108,296,8.1,2.01609935920151,2794760978.60156,221283.357190429,7.0
7,00161533,01015,1569246127,16536293,Calhoun County,Alabama,50128,1964,25970.0,8913.0,55989,2030,57673,4567,36491,2078,37707.0,5528.0,54115.0,23377.0,37933.0,37066.0,,,37632.0,15267.0,20625.0,7717.0,53622,2792,49563.0,19106.0,44572,642,4133,509,40439,790,9.3,1.13413536402695,2300852366.69531,263781.308198152,8.0
8,00161534,01017,1545085601,16971700,Chambers County,Alabama,43875,3861,36019.0,10803.0,55145,9169,52820,6686,32726,2769,34995.0,5067.0,,,,,,,100250.0,81900.0,41429.0,10486.0,49953,4133,70159.0,56018.0,13582,418,945,202,12637,421,7.0,1.47176682486095,2222662395.77734,208606.041359375,9.0
9,00161535,01019,1433620850,120310807,Cherokee County,Alabama,42509,3824,45294.0,16507.0,55732,9408,53011,8850,33230,4214,,,,,,,,,,,64821.0,54437.0,43567,4291,34183.0,12176.0,10836,476,994,219,9842,483,9.2,1.98046327647249,2276002215.98828,237079.593526513,10.0
10,00161536,01021,1794438835,20592116,Chilton County,Alabama,52141,4263,36199.0,10933.0,55560,3835,60882,7733,32859,7007,33000.0,12144.0,78253.0,48887.0,66912.0,60425.0,,,54485.0,21659.0,40341.0,35323.0,54112,2884,50395.0,21132.0,17140,358,1248,253,15892,428,7.3,1.46822392652564,2578783801.48828,248625.3232346,11.0
11,00161537,01023,2365900081,19114321,Choctaw County,Alabama,36634,2639,2499.0,,66750,25866,37782,3987,28839,3655,29093.0,3956.0,,,,,,,,,,,43571,9510,,,5330,255,258,92,5072,289,4.8,1.71047292685388,3327536543.99609,324953.781116769,12.0
12,00161538,01025,3207494086,36657889,Clarke County,Alabama,37345,5617,,,46319,11792,42451,6790,30301,5614,27115.0,4817.0,,,185727.0,95206.0,,,,,60089.0,24967.0,50436,3725,44583.0,25065.0,9323,439,667,164,8656,429,7.2,1.72653091864636,4492990574.91797,455174.014675145,13.0
13,00161539,01027,1564255426,5281616,Clay County,Alabama,42678,3933,36080.0,20963.0,44645,7470,59375,6679,32703,4038,29281.0,12315.0,,,,,,,,,103542.0,29176.0,44234,3384,30197.0,19101.0,5153,269,460,145,4693,299,8.9,2.77503948433364,2251227965.31641,244308.319068432,14.0
14,00161540,01029,1450666453,2352217,Cleburne County,Alabama,46320,4995,43750.0,27621.0,55829,3676,63807,13973,29500,6090,,,,,,,,,45444.0,34855.0,,,49779,5964,45282.0,43927.0,5835,194,460,132,5375,220,7.9,2.24697526836066,2103518737.47266,264790.945892541,15.0
15,00161541,01031,1758565928,3907189,Coffee County,Alabama,56799,3287,36010.0,6990.0,61667,5062,69511,4971,42188,4738,37602.0,4593.0,44231.0,36915.0,105853.0,33255.0,,,87045.0,26414.0,55139.0,25906.0,62729,2545,39979.0,25165.0,19951,457,1747,243,18204,486,8.8,1.20135518995096,2426766484.71875,203468.714405279,16.0
16,00161542,01033,1535742270,79160396,Colbert County,Alabama,47962,3470,31857.0,15477.0,56250,5667,59766,7469,38538,4349,30687.0,2039.0,83500.0,21729.0,65481.0,45298.0,,,23835.0,4013.0,65530.0,45752.0,53250,2850,31319.0,13504.0,21797,514,1458,283,20339,557,6.7,1.28872666453842,2394899037.33594,262716.07300821,17.0
17,00161543,01035,2202213384,6426488,Conecuh County,Alabama,35444,3137,,,33962,1176,41784,3381,32120,5837,33152.0,2267.0,,,,,,,,,,,40368,8057,,,4585,297,223,106,4362,287,4.9,2.29031911490963,3042810006.20703,309795.324344162,18.0
18,00161544,01037,1685846963,39991153,Coosa County,Alabama,43571,8028,,,53475,23815,46625,12136,35867,12597,34270.0,5047.0,,,,,,,,,51250.0,442.0,47971,4315,,,4016,203,238,107,3778,216,5.9,2.64744871987652,2456907531.85156,209661.848356377,19.0
19,00161545,01039,2669165738,34194671,Covington County,Alabama,42566,2958,29837.0,11733.0,52299,6257,49176,5794,33707,2649,24655.0,6373.0,30219.0,6704.0,,,,,,,35750.0,17636.0,47319,3548,41600.0,12428.0,14995,400,1342,228,13653,464,8.9,1.5016476701718,3710244590.86719,288483.993456594,20.0
