,NAME,State,B23027_002E,B23027_003E,County
0,Autauga County,Alabama,3042,1211,Autauga 
1,Baldwin County,Alabama,10258,5186,Baldwin 
2,Barbour County,Alabama,1078,243,Barbour 
3,Bibb County,Alabama,1147,387,Bibb 
4,Blount County,Alabama,3071,954,Blount 
5,Bullock County,Alabama,881,202,Bullock 
6,Butler County,Alabama,865,335,Butler 
7,Calhoun County,Alabama,6350,2657,Calhoun 
8,Chambers County,Alabama,1374,585,Chambers 
9,Cherokee County,Alabama,1213,398,Cherokee 
10,Chilton County,Alabama,2099,694,Chilton 
11,Choctaw County,Alabama,830,360,Choctaw 
12,Clarke County,Alabama,1335,293,Clarke 
13,Clay County,Alabama,683,179,Clay 
14,Cleburne County,Alabama,674,348,Cleburne 
15,Coffee County,Alabama,2531,923,Coffee 
16,Colbert County,Alabama,2528,978,Colbert 
17,Conecuh County,Alabama,693,213,Conecuh 
18,Coosa County,Alabama,321,174,Coosa 
19,Covington County,Alabama,1698,642,Covington 
20,Crenshaw County,Alabama,607,188,Crenshaw 
21,Cullman County,Alabama,4134,1749,Cullman 
22,Dale County,Alabama,2373,791,Dale 
23,Dallas County,Alabama,2125,520,Dallas 
24,DeKalb County,Alabama,3890,1606,DeKalb 
25,Elmore County,Alabama,3939,1781,Elmore 
26,Escambia County,Alabama,1876,412,Escambia 
27,Etowah County,Alabama,4690,2046,Etowah 
28,Fayette County,Alabama,918,354,Fayette 
29,Franklin County,Alabama,1424,733,Franklin 
30,Geneva County,Alabama,1306,397,Geneva 
31,Greene County,Alabama,159,24,Greene 
32,Hale County,Alabama,860,379,Hale 
33,Henry County,Alabama,999,335,Henry 
34,Houston County,Alabama,4938,1868,Houston 
35,Jackson County,Alabama,2326,886,Jackson 
36,Jefferson County,Alabama,33375,14186,Jefferson 
37,Lamar County,Alabama,450,186,Lamar 
38,Lauderdale County,Alabama,4752,2426,Lauderdale 
39,Lawrence County,Alabama,1573,663,Lawrence 
40,Lee County,Alabama,11838,5749,Lee 
41,Limestone County,Alabama,4834,1663,Limestone 
42,Lowndes County,Alabama,424,179,Lowndes 
43,Macon County,Alabama,1635,808,Macon 
44,Madison County,Alabama,19034,8964,Madison 
45,Marengo County,Alabama,1007,297,Marengo 
46,Marion County,Alabama,1530,693,Marion 
47,Marshall County,Alabama,5096,1937,Marshall 
48,Mobile County,Alabama,21261,7027,Mobile 
49,Monroe County,Alabama,1252,376,Monroe 
50,Montgomery County,Alabama,12150,5246,Montgomery 
51,Morgan County,Alabama,5668,2589,Morgan 
52,Perry County,Alabama,1086,565,Perry 
53,Pickens County,Alabama,1005,241,Pickens 
54,Pike County,Alabama,3016,1247,Pike 
55,Randolph County,Alabama,1108,387,Randolph 
56,Russell County,Alabama,2558,838,Russell 
57,St. Clair County,Alabama,3817,1747,St. Clair 
58,Shelby County,Alabama,11693,5873,Shelby 
59,Sumter County,Alabama,974,466,Sumter 
60,Talladega County,Alabama,4008,1600,Talladega 
61,Tallapoosa County,Alabama,2103,1071,Tallapoosa 
62,Tuscaloosa County,Alabama,16681,9361,Tuscaloosa 
63,Walker County,Alabama,2915,1337,Walker 
64,Washington County,Alabama,1111,154,Washington 
65,Wilcox County,Alabama,638,171,Wilcox 
66,Winston County,Alabama,1049,545,Winston 
0,Aleutians East Borough,Alaska,112,56,Aleutians East Borough
1,Aleutians West Census Area,Alaska,251,153,Aleutians West Census Area
2,Anchorage Municipality,Alaska,14043,7074,Anchorage Municipality
3,Bethel Census Area,Alaska,1195,563,Bethel Census Area
4,Bristol Bay Borough,Alaska,24,16,Bristol Bay Borough
5,Denali Borough,Alaska,149,133,Denali Borough
6,Dillingham Census Area,Alaska,297,117,Dillingham Census Area
7,Fairbanks North Star Borough,Alaska,4874,3153,Fairbanks North Star Borough
8,Haines Borough,Alaska,65,63,Haines Borough
9,Hoonah-Angoon Census Area,Alaska,47,29,Hoonah-Angoon Census Area
10,Juneau City and Borough,Alaska,1404,795,Juneau City and Borough
11,Kenai Peninsula Borough,Alaska,2852,1677,Kenai Peninsula Borough
12,Ketchikan Gateway Borough,Alaska,579,359,Ketchikan Gateway Borough
13,Kodiak Island Borough,Alaska,716,374,Kodiak Island Borough
14,Kusilvak Census Area,Alaska,570,256,Kusilvak Census Area
15,Lake and Peninsula Borough,Alaska,65,49,Lake and Peninsula Borough
16,Matanuska-Susitna Borough,Alaska,5669,2639,Matanuska-Susitna Borough
17,Nome Census Area,Alaska,626,251,Nome Census Area
18,North Slope Borough,Alaska,492,284,North Slope Borough
19,Northwest Arctic Borough,Alaska,510,143,Northwest Arctic Borough
20,Petersburg Borough,Alaska,118,84,Petersburg Borough
21,Prince of Wales-Hyder Census Area,Alaska,283,179,Prince of Wales-Hyder Census Area
22,Sitka City and Borough,Alaska,410,235,Sitka City and Borough
23,Skagway Municipality,Alaska,58,51,Skagway Municipality
24,Southeast Fairbanks Census Area,Alaska,350,123,Southeast Fairbanks Census Area
25,Wrangell City and Borough,Alaska,119,89,Wrangell City and Borough
26,Yakutat City and Borough,Alaska,10,6,Yakutat City and Borough
27,Yukon-Koyukuk Census Area,Alaska,271,176,Yukon-Koyukuk Census Area
28,Chugach Census Area,Alaska,228,181,Chugach Census Area
29,Copper River Census Area,Alaska,86,39,Copper River Census Area
0,Apache County,Arizona,4645,664,Apache 
1,Cochise County,Arizona,6049,2444,Cochise 
2,Coconino County,Arizona,15472,9495,Coconino 
3,Gila County,Arizona,1753,521,Gila 
4,Graham County,Arizona,2406,760,Graham 
5,Greenlee County,Arizona,638,228,Greenlee 
6,La Paz County,Arizona,690,264,La Paz 
7,Maricopa County,Arizona,236881,104728,Maricopa 
8,Mohave County,Arizona,7690,3438,Mohave 
9,Navajo County,Arizona,5842,1570,Navajo 
10,Pima County,Arizona,56103,23923,Pima 
